UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Comment
,M14860,M,24.95 °C,35.45 °C,1551.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2.0,L47181,L,298.2,308.7,1408.0,46.3,3.0,0.0,,0.0,0.0,0.0,0.0,-
3.0,L47182,L,298.1,308.5,1498.0,49.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-
4.0,l47183,L,,308.6,1433.0,39.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-
5.0,L47184,L,298.2,308.7,1408.0,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,-
6.0,,M,298.1,308.6,1425.0,41.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-
7.0,L47186,L,298.1,308.6,1558.0,42.4,14.0,0.0,0.0,,0.0,0.0,0.0,-
8.0, L47187,L,298.1,,1527.0,40.2,16.0,0.0,,0.0,0.0,0.0,0.0,-
9.0,M14868,m,298.3,308.7,1667.0,28.6,18.0,,0.0,0.0,0.0,0.0,0.0,-
10.0,M14869,M,298.5,309.0,1741.0,28.0,21.0,0.0,0.0,,0.0,0.0,0.0,-
11.0,H29424,H,298.4,308.9,1782.0,23.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-
12.0,H29425,H,298.6,309.1,1423.0,44.3,29.0,0.0,0.0,0.0,0.0,0.0,,-
13.0,M14872,M,298.6,309.1,1339.0,51.1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-
14.0,M14873,M,25.45 °C,36.05 °C,1742.0,30.0,,0.0,0.0,0.0,0.0,,0.0,-
15.0,L47194,L,298.6,309.2,,19.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-
16.0,L47195,L,298.6,309.2,1542.0,48.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-
17.0,M14876,M,298.6,309.2,1311.0,46.6,,0.0,0.0,0.0,0.0,0.0,0.0,-
18.0,M14877,M,298.7,309.2,1410.0,45.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,-
19.0,H29432,H,298.8,309.2,1306.0,54.5,50.0,0.0,0.0,,0.0,0.0,0.0,-
20.0,M14879,M,298.9,309.3,1632.0,32.5,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,-
21.0,H29434,H,25.75 °C,36.15 °C,1375.0,42.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,-
22.0,L47201,L,298.8,309.3,1450.0,44.8,63.0,0.0,0.0,0.0,0.0,,0.0,-
23.0,M14882,M,298.9,309.3,1581.0,30.7,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,-
24.0,L47203,L,299.0,309.4,1758.0,25.7,68.0,0.0,0.0,,0.0,0.0,0.0,-
25.0,,,25.85 °C,36.25 °C,1561.0,37.3,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-
26.0,L47205,L,,309.5,1861.0,23.3,,0.0,0.0,0.0,0.0,0.0,0.0,-
27.0,L47206,L,299.1,309.5,1512.0,39.0,75.0,0.0,0.0,0.0,0.0,,0.0,-
28.0, H29441,H,299.1,309.4,1811.0,24.6,77.0,0.0,0.0,0.0,,0.0,0.0,-
29.0,l47208,L,299.1,309.4,1439.0,44.2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,-
30.0,L47209,L,299.0,309.4,,30.1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,-
31.0,M14890,M,299.1,309.5,1339.0,48.2,86.0,,0.0,0.0,0.0,0.0,0.0,-
32.0,L47211,L,299.0,309.4,1798.0,25.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,-
33.0,L47212,L,299.0,309.4,,48.3,91.0,0.0,,0.0,0.0,0.0,0.0,-
,L47213,L,298.9,309.3,1665.0,32.5,93.0,0.0,0.0,0.0,0.0,0.0,0.0,-
35.0,M14894,M,298.8,309.1,1559.0,,95.0,,0.0,0.0,0.0,0.0,0.0,-
36.0,M14895,M,298.8,309.2,1452.0,48.6,98.0,0.0,0.0,0.0,0.0,0.0,0.0,-
37.0,M14896,M,298.9,309.2,1581.0,36.7,101.0,0.0,0.0,0.0,,0.0,,-
38.0,L47217,L,298.8,309.1,1439.0,39.2,104.0,0.0,0.0,0.0,0.0,0.0,,-
39.0,H29452,H,298.9,309.2,1379.0,50.7,106.0,0.0,0.0,0.0,0.0,0.0,0.0,-
40.0,L47219,L,298.8,309.1,1350.0,52.5,111.0,0.0,0.0,0.0,,0.0,0.0,-
41.0,L47220,L,298.8,309.1,1362.0,45.4,113.0,0.0,0.0,0.0,0.0,0.0,0.0,-
42.0,L47221,,298.8,309.1,1368.0,50.8,115.0,0.0,0.0,0.0,0.0,0.0,0.0,-
43.0,M14902,M,298.8,309.1,1368.0,49.1,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-
44.0,H29457,H,298.8,309.2,1372.0,48.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,-
45.0,M14904,M,298.8,309.1,1472.0,47.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,-
46.0,L47225,L,298.8,309.1,1489.0,49.1,128.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,M14906,,298.7,309.0,1843.0,25.8,130.0,0.0,0.0,0.0,0.0,0.0,0.0,-
48.0,L47227,L,298.8,309.1,1418.0,46.3,133.0,0.0,0.0,0.0,0.0,0.0,0.0,-
49.0,H29462,H,298.8,309.2,1425.0,53.9,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-
50.0,M14909,M,298.9,309.2,1412.0,44.1,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-
51.0,L47230,L,298.9,309.1,2861.0,4.6,143.0,1.0,0.0,0.0,1.0,0.0,0.0,-
52.0,L47231,L,298.9,309.1,1383.0,54.9,145.0,0.0,0.0,0.0,0.0,0.0,0.0,-
53.0,H29466,H,298.8,309.0,1497.0,43.8,147.0,0.0,0.0,0.0,0.0,0.0,0.0,-
54.0,L47233,L,298.7,309.0,1565.0,35.1,152.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47234,L,298.7,309.0,1691.0,30.1,154.0,0.0,0.0,0.0,0.0,0.0,0.0,-
56.0,L47235,L,25.65 °C,35.95 °C,1512.0,40.7,156.0,0.0,0.0,0.0,0.0,0.0,0.0,-
57.0,L47236,L,298.8,309.1,1477.0,42.4,158.0,0.0,0.0,0.0,0.0,,0.0,-
58.0,L47237,L,298.8,309.1,1513.0,40.3,160.0,0.0,0.0,0.0,0.0,0.0,0.0,-
59.0,M14918,M,298.8,309.0,1661.0,29.5,162.0,0.0,0.0,0.0,0.0,0.0,0.0,-
60.0,L47239,L,298.8,309.1,1378.0,54.4,165.0,0.0,0.0,0.0,0.0,0.0,0.0,-
61.0,,L,298.8,309.1,1393.0,52.6,167.0,0.0,0.0,0.0,0.0,0.0,0.0,-
62.0,,M,298.8,309.0,1592.0,38.2,169.0,0.0,0.0,0.0,0.0,0.0,0.0,-
63.0,L47242,L,298.8,309.0,1829.0,22.9,172.0,0.0,0.0,0.0,0.0,,,-
64.0,M14923,M,298.9,309.0,1812.0,25.9,174.0,0.0,0.0,0.0,0.0,0.0,0.0,-
65.0,L47244,L,299.0,309.1,1523.0,38.6,177.0,0.0,0.0,0.0,0.0,0.0,0.0,-
66.0,L47245,L,299.0,309.1,1394.0,45.1,179.0,0.0,0.0,0.0,0.0,0.0,0.0,-
67.0,M14926,M,298.9,308.9,1679.0,28.7,181.0,0.0,,0.0,0.0,0.0,0.0,-
68.0,H29481,H,298.8,308.9,1466.0,44.1,184.0,0.0,0.0,0.0,0.0,0.0,0.0,-
69.0,L47248,L,298.8,308.9,1527.0,,189.0,0.0,0.0,0.0,0.0,0.0,0.0,-
70.0,L47249,L,298.9,309.0,1410.0,65.7,191.0,1.0,0.0,0.0,1.0,1.0,0.0,-
71.0,M14930,M,,309.0,1924.0,22.6,193.0,0.0,,0.0,0.0,0.0,0.0,-
72.0,L47251,L,298.9,309.1,1452.0,45.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0,-
73.0,,L,298.9,309.1,1369.0,44.4,198.0,0.0,0.0,0.0,0.0,0.0,0.0,-
74.0,L47253,L,299.0,309.1,1592.0,35.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,-
75.0,L47254,L,298.9,309.0,1601.0,32.3,202.0,0.0,0.0,,0.0,0.0,0.0,-
76.0,l47255,L,298.8,308.9,1379.0,46.7,204.0,0.0,,0.0,0.0,0.0,0.0,-
77.0,L47256,L,298.8,308.9,1461.0,47.9,206.0,0.0,,0.0,0.0,0.0,0.0,-
78.0,L47257,L,298.8,308.9,1455.0,41.3,208.0,1.0,1.0,0.0,0.0,0.0,0.0,-
79.0,L47258, L,298.8,308.9,1398.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
80.0,L47259,L,298.8,308.9,1402.0,37.9,,0.0,0.0,,0.0,0.0,0.0,-
81.0,H29494,H,298.8,308.8,,49.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-
82.0,L47261,L,298.9,308.9,1450.0,47.5,9.0,0.0,0.0,0.0,0.0,,0.0,-
83.0,L47262,L,298.9,308.9,1453.0,40.8,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,-
84.0,L47263,L,299.0,309.0,1469.0,40.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-
85.0,L47264,"""L""",298.9,308.9,1422.0,47.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-
86.0,M14945,M,299.0,309.0,1804.0,26.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-
87.0,H29500,H,,309.0,,43.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-
88.0,L47267,L,299.0,309.0,1544.0,31.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-
89.0,M14948,M,299.0,309.0,1419.0,45.2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-
90.0,M14949,M,25.75 °C,35.75 °C,1487.0,39.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-
91.0,L47270,L,298.9,308.9,1753.0,25.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L47271,L,298.9,308.9,1830.0,24.9,35.0,,0.0,0.0,0.0,0.0,0.0,-
93.0,M14952,M,298.9,308.9,1727.0,27.1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-
94.0,L47273,,299.1,309.0,,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-
95.0,L47274,L,299.0,308.9,1622.0,31.9,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-
96.0,"""M14955""",M,299.0,309.0,,52.2,,,0.0,0.0,0.0,0.0,0.0,-
97.0,M14956,M,299.0,,1575.0,35.3,47.0,0.0,0.0,0.0,0.0,0.0,0.0,-
98.0,M14957,M,298.9,308.9,1750.0,29.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-
99.0,L47278,L,298.9,308.8,1529.0,32.7,53.0,0.0,,0.0,0.0,0.0,0.0,-
100.0,L47279,L,298.8,308.8,1523.0,44.4,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-
101.0,L47280,L,298.8,308.9,1852.0,25.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,-
102.0,L47281,L,298.8,308.8,3991.0,20.7,59.0,0.0,0.0,0.0,0.0,0.0,0.0,-
103.0,L47282,L,298.8,308.8,1555.0,40.6,61.0,0.0,,0.0,0.0,0.0,0.0,-
104.0,M14963,M,298.8,308.8,1441.0,40.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-
105.0,L47284,L,298.8,308.7,1450.0,43.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-
106.0,L47285,L,298.8,308.7,1591.0,31.1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-
107.0,L47286,L,298.8,308.7,1445.0,48.5,,0.0,0.0,0.0,0.0,0.0,0.0,-
108.0,M14967,M,298.8,308.8,,46.8,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-
109.0,H29522,H,298.9,308.8,1621.0,32.7,75.0,,0.0,0.0,0.0,0.0,0.0,-
110.0,L47289,L,298.9,308.7,1572.0,34.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-
111.0,L47290,L,298.8,308.6,1872.0,22.5,82.0,,0.0,0.0,0.0,0.0,0.0,-
112.0,H29525,H,298.7,308.6,1499.0,43.5,,0.0,0.0,,0.0,0.0,0.0,-
113.0,M14972,M,298.8,308.7,1498.0,39.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,-
114.0,M14973,M,298.8,308.6,1486.0,41.9,92.0,0.0,0.0,0.0,0.0,,0.0,-
115.0,L47294,L,298.8,308.6,1680.0,29.4,,0.0,0.0,0.0,0.0,0.0,0.0,-
116.0,L47295,L,25.65 °C,nan °C,,45.7,97.0,0.0,0.0,0.0,0.0,0.0,0.0,-
117.0,L47296,L,298.9,308.7,1564.0,34.1,99.0,0.0,0.0,0.0,,0.0,0.0,-
118.0,L47297,L,298.8,308.6,1599.0,33.0,101.0,0.0,0.0,0.0,0.0,0.0,,-
119.0,M14978,M,298.8,308.6,1707.0,28.1,103.0,0.0,0.0,,0.0,0.0,0.0,-
